Alan Wells ,1,1,0,15,15,15.00,10,150.00,0,0,2,0,0,0
Neil Smith ,7,6,1,100,31,20.00,132,75.75,0,0,15,0,1,0
Mike Watkinson ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Ali Brown ,16,16,0,354,118,22.12,427,82.90,1,1,40,3,6,0
Mark Ealham ,64,45,4,716,45,17.46,1092,65.56,0,0,51,13,9,0
Ronnie Irani ,31,30,5,360,53,14.40,549,65.57,0,1,23,2,6,0
Robert Croft ,50,36,12,345,32,14.37,519,66.47,0,0,23,2,11,0
Dean Headley ,13,6,4,22,10*,11.00,49,44.89,0,0,0,0,3,0
Nick Knight ,100,100,10,3637,125*,40.41,5085,71.52,5,25,327,21,44,0
Graham Lloyd ,6,5,1,39,22,9.75,80,48.75,0,0,1,0,2,0
Alan Mullally ,50,25,10,86,20,5.73,238,36.13,0,0,10,1,8,0
Adam Hollioake ,35,30,6,606,83*,25.25,807,75.09,0,3,46,4,13,0
Chris Silverwood ,7,4,0,17,12,4.25,34,50.00,0,0,1,0,0,0
Ashley Giles ,62,35,13,385,41,17.50,551,69.87,0,0,24,4,22,0
Ben Hollioake ,20,17,2,309,63,20.60,381,81.10,0,2,34,3,6,0
Dougie Brown ,25,24,6,319,50*,17.72,481,66.32,0,1,28,2,4,0
Matthew Fleming ,11,10,1,139,33,15.44,137,101.45,0,0,11,3,1,0
Chris Adams ,5,4,0,71,42,17.75,144,49.30,0,0,3,0,3,0
Darren Maddy ,8,6,0,113,53,18.83,206,54.85,0,1,10,0,1,0
Ian Austin ,9,6,1,34,11*,6.80,49,69.38,0,0,2,0,0,0
Mark Alleyne ,10,8,1,151,53,21.57,255,59.21,0,1,8,1,3,0
Vince Wells ,9,7,0,141,39,20.14,253,55.73,0,0,8,2,7,0
Andrew Flintoff ,141,122,16,3394,123,32.01,3821,88.82,3,18,308,93,47,0
Chris Read ,36,24,7,300,30*,17.64,410,73.17,0,0,21,6,41,2
Vikram Solanki ,51,46,5,1097,106,26.75,1504,72.93,2,5,135,7,16,0
Graeme Swann ,79,48,12,500,34,13.88,553,90.41,0,0,48,4,29,0
Marcus Trescothick ,123,122,6,4335,137,37.37,5087,85.21,12,21,528,41,49,0
Paul Franks ,1,1,0,4,4,4.00,17,23.52,0,0,0,0,1,0
Paul Grayson ,2,2,0,6,6,3.00,13,46.15,0,0,0,0,1,0
Michael Vaughan ,86,83,10,1982,90*,27.15,2898,68.39,0,16,204,13,25,0
Paul Collingwood ,197,181,37,5092,120*,35.36,6614,76.98,5,26,365,74,108,0
Owais Shah ,71,66,6,1834,107*,30.56,2331,78.67,1,12,144,26,21,0
James Foster ,11,6,3,41,13,13.66,71,57.74,0,0,0,0,13,7
Matthew Hoggard ,26,6,2,17,7,4.25,30,56.66,0,0,0,0,5,0
James Kirtley ,11,2,0,2,1,1.00,11,18.18,0,0,0,0,5,0
Jeremy Snape ,10,7,3,118,38,29.50,173,68.20,0,0,6,0,5,0
Ryan Sidebottom ,25,18,8,133,24,13.30,194,68.55,0,0,11,0,6,0
Alex Tudor ,3,2,1,9,6,9.00,11,81.81,0,0,0,0,1,0
Ian Blackwell ,34,29,2,403,82,14.92,465,86.66,0,1,38,9,8,0
