Neil Broom ,22,22,3,333,71,17.52,475,70.10,0,1,26,3,2,0
Martin Guptill ,84,82,9,2859,189*,39.16,3518,81.26,5,18,284,56,36,0
Brendon Diamanti ,1,1,1,26,26*,-,22,118.18,0,0,3,0,1,0
Peter McGlashan ,4,2,1,63,56*,63.00,51,123.52,0,1,6,1,7,0
Ewen Thompson ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Nathan McCullum ,67,53,7,949,65,20.63,1061,89.44,0,4,64,30,34,0
Aaron Redmond ,6,6,0,152,52,25.33,259,58.68,0,1,19,0,3,0
Peter Ingram ,8,7,0,193,69,27.57,238,81.09,0,1,30,0,3,0
Andy McKay ,19,10,7,12,4*,4.00,47,25.53,0,0,0,0,3,0
Shanan Stewart ,4,4,0,26,14,6.50,59,44.06,0,0,2,0,0,0
Kane Williamson ,54,49,6,1699,145*,39.51,2149,79.06,3,11,133,13,18,0
BJ Watling ,22,20,2,528,96*,29.33,767,68.83,0,5,54,3,16,0
Hamish Bennett ,14,7,5,10,4*,5.00,35,28.57,0,0,0,0,2,0
Luke Woodcock ,4,2,1,14,11,14.00,22,63.63,0,0,1,0,0,0
Doug Bracewell ,7,4,1,14,8*,4.66,29,48.27,0,0,0,0,2,0
Rob Nicol ,22,21,2,586,146,30.84,776,75.51,2,2,53,13,11,0
Graeme Aldridge ,2,-,-,-,-,-,-,-,-,-,-,-,0,0
Dean Brownlie ,3,3,1,22,19,11.00,43,51.16,0,0,2,0,1,0
Andrew Ellis ,15,12,1,154,33,14.00,184,83.69,0,0,10,2,3,0
Tom Latham ,13,13,2,280,86,25.45,378,74.07,0,1,23,6,6,1
Tarun Nethula ,5,3,1,12,9*,6.00,11,109.09,0,0,1,0,2,0
Michael Bates ,2,1,0,13,13,13.00,10,130.00,0,0,1,1,1,0
Colin de Grandhomme ,1,1,0,36,36,36.00,36,100.00,0,0,1,3,1,0
Trent Boult ,8,4,2,8,5,4.00,14,57.14,0,0,0,0,1,0
Adam Milne ,7,1,1,12,12*,-,3,400.00,0,0,1,1,5,0
Mitchell McClenaghan ,22,8,6,14,4,7.00,47,29.78,0,0,0,0,3,0
James Neesham ,11,9,3,117,42*,19.50,123,95.12,0,0,12,2,5,0
Colin Munro ,7,6,0,167,85,27.83,169,98.81,0,2,15,4,0,0
Hamish Rutherford ,4,4,0,15,11,3.75,56,26.78,0,0,2,0,2,0
Luke Ronchi ,23,19,4,339,64,22.60,269,126.02,0,1,37,13,30,3
Corey Anderson ,12,11,3,424,131*,53.00,266,159.39,1,1,28,31,1,0
Anton Devcich ,6,6,0,93,46,15.50,128,72.65,0,0,15,0,2,0
Matt Henry ,1,-,-,-,-,-,-,-,-,-,-,-,0,0
